namefile;ddns;ipAddress;continentCode;continentName;countryCode;countryName;isEuMember;currencyCode;currencyName;phonePrefix;languages__001;languages__002;geonameId;latitude;longitude;gmtOffset;timeZone;asNumber;asName;isp;linkType;organization;isCrawler;isProxy;threatLevel;threatDetails__001;threatDetails__002;threatDetails__003;threatDetails__004;threatDetails__005
ovpn_111.241.157.67.ovpn;hank1688.asuscomm.com;1.160.115.134;AS;Asia;TW;Taiwan;False;TWD;Dollar;886;zh-TW;zh;1676691;25.0911;121.56;8;Asia/Taipei;3462;HINET Data Communication Business Group;Hinet;;Chunghwa Telecom Co. Ltd.;False;False;low;;;;;
client11.161.162.61.ovpn;ghrdf16sdf.asuscomm.com;1.161.161.114;AS;Asia;TW;Taiwan;False;TWD;Dollar;886;zh-TW;zh;1676691;25.0911;121.56;8;Asia/Taipei;3462;HINET Data Communication Business Group;Hinet;;Chunghwa Telecom Co. Ltd.;False;False;low;;;;;
ovpn_1.228.79.176.ovpn;A176C49DB4E8D6072FFB3A641EA8D9303.asuscomm.com;1.228.79.176;AS;Asia;KR;South Korea;False;KRW;Won;82;ko-KR;en;1835848;37.561;126.995;9;Asia/Seoul;9318;AS9318;SK Broadband Co Ltd;;SK Broadband Co Ltd;False;False;low;;;;;
